==12679== NVPROF is profiling process 12679, command: ./main 16 0
==12679== Profiling application: ./main 16 0
==12679== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,B,MB,GB/s,,,,
555.327943,0.688866,,,,,,,,,,4.000000,5.670551,"GeForce GTX 950 (0)","1","13","[CUDA memcpy HtoD]"
556.018153,0.703363,,,,,,,,,,4.000000,5.553676,"GeForce GTX 950 (0)","1","13","[CUDA memcpy HtoD]"
556.722764,0.736675,,,,,,,,,,4.000000,5.302542,"GeForce GTX 950 (0)","1","17","[CUDA memcpy HtoD]"
556.758732,0.144961,4096,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","13","kernel_vectorAdd(float const *, float const *, int, int, float*) [261]"
556.925229,0.763939,,,,,,,,,,4.000000,5.113301,"GeForce GTX 950 (0)","1","13","[CUDA memcpy DtoH]"
557.461871,15.478076,,,,,,,,,,4.000000,0.252373,"GeForce GTX 950 (0)","1","17","[CUDA memcpy HtoD]"
557.776336,0.703075,,,,,,,,,,4.000000,5.555951,"GeForce GTX 950 (0)","1","18","[CUDA memcpy HtoD]"
558.480691,14.822521,,,,,,,,,,4.000000,0.263535,"GeForce GTX 950 (0)","1","18","[CUDA memcpy HtoD]"
558.830804,0.703619,,,,,,,,,,4.000000,5.551655,"GeForce GTX 950 (0)","1","19","[CUDA memcpy HtoD]"
559.535671,14.148630,,,,,,,,,,4.000000,0.276087,"GeForce GTX 950 (0)","1","19","[CUDA memcpy HtoD]"
559.885528,0.702371,,,,,,,,,,4.000000,5.561519,"GeForce GTX 950 (0)","1","20","[CUDA memcpy HtoD]"
560.589115,13.477524,,,,,,,,,,4.000000,0.289834,"GeForce GTX 950 (0)","1","20","[CUDA memcpy HtoD]"
560.938620,0.702659,,,,,,,,,,4.000000,5.559240,"GeForce GTX 950 (0)","1","21","[CUDA memcpy HtoD]"
561.642527,12.811057,,,,,,,,,,4.000000,0.304912,"GeForce GTX 950 (0)","1","21","[CUDA memcpy HtoD]"
561.992544,0.702307,,,,,,,,,,4.000000,5.562026,"GeForce GTX 950 (0)","1","22","[CUDA memcpy HtoD]"
562.696067,12.138575,,,,,,,,,,4.000000,0.321805,"GeForce GTX 950 (0)","1","22","[CUDA memcpy HtoD]"
563.046852,0.702787,,,,,,,,,,4.000000,5.558227,"GeForce GTX 950 (0)","1","23","[CUDA memcpy HtoD]"
563.750855,11.464268,,,,,,,,,,4.000000,0.340733,"GeForce GTX 950 (0)","1","23","[CUDA memcpy HtoD]"
564.099977,0.702466,,,,,,,,,,4.000000,5.560767,"GeForce GTX 950 (0)","1","24","[CUDA memcpy HtoD]"
564.803723,10.786858,,,,,,,,,,4.000000,0.362130,"GeForce GTX 950 (0)","1","24","[CUDA memcpy HtoD]"
565.155405,0.700162,,,,,,,,,,4.000000,5.579066,"GeForce GTX 950 (0)","1","25","[CUDA memcpy HtoD]"
565.856783,10.101511,,,,,,,,,,4.000000,0.386700,"GeForce GTX 950 (0)","1","25","[CUDA memcpy HtoD]"
566.209745,0.699170,,,,,,,,,,4.000000,5.586982,"GeForce GTX 950 (0)","1","26","[CUDA memcpy HtoD]"
566.910131,9.427333,,,,,,,,,,4.000000,0.414354,"GeForce GTX 950 (0)","1","26","[CUDA memcpy HtoD]"
567.262997,0.698402,,,,,,,,,,4.000000,5.593125,"GeForce GTX 950 (0)","1","27","[CUDA memcpy HtoD]"
567.962615,8.744098,,,,,,,,,,4.000000,0.446730,"GeForce GTX 950 (0)","1","27","[CUDA memcpy HtoD]"
568.318105,0.696130,,,,,,,,,,4.000000,5.611380,"GeForce GTX 950 (0)","1","28","[CUDA memcpy HtoD]"
569.015451,8.061503,,,,,,,,,,4.000000,0.484556,"GeForce GTX 950 (0)","1","28","[CUDA memcpy HtoD]"
569.372733,0.703555,,,,,,,,,,4.000000,5.552160,"GeForce GTX 950 (0)","1","14","[CUDA memcpy HtoD]"
570.077504,7.381756,,,,,,,,,,4.000000,0.529176,"GeForce GTX 950 (0)","1","14","[CUDA memcpy HtoD]"
570.426593,0.704131,,,,,,,,,,4.000000,5.547618,"GeForce GTX 950 (0)","1","15","[CUDA memcpy HtoD]"
571.131940,6.710585,,,,,,,,,,4.000000,0.582103,"GeForce GTX 950 (0)","1","15","[CUDA memcpy HtoD]"
571.480421,0.704899,,,,,,,,,,4.000000,5.541574,"GeForce GTX 950 (0)","1","16","[CUDA memcpy HtoD]"
572.186568,6.032055,,,,,,,,,,4.000000,0.647582,"GeForce GTX 950 (0)","1","16","[CUDA memcpy HtoD]"
572.958635,0.145408,4096,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","17","kernel_vectorAdd(float const *, float const *, int, int, float*) [289]"
573.126667,0.770659,,,,,,,,,,4.000000,5.068714,"GeForce GTX 950 (0)","1","17","[CUDA memcpy DtoH]"
573.310668,0.153505,4096,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","18","kernel_vectorAdd(float const *, float const *, int, int, float*) [296]"
573.710925,0.153825,4096,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","19","kernel_vectorAdd(float const *, float const *, int, int, float*) [303]"
573.903182,0.776291,,,,,,,,,,4.000000,5.031940,"GeForce GTX 950 (0)","1","18","[CUDA memcpy DtoH]"
574.105807,0.153409,4096,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","20","kernel_vectorAdd(float const *, float const *, int, int, float*) [310]"
574.483504,0.152161,4096,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","21","kernel_vectorAdd(float const *, float const *, int, int, float*) [317]"
574.685393,0.766947,,,,,,,,,,4.000000,5.093246,"GeForce GTX 950 (0)","1","19","[CUDA memcpy DtoH]"
574.857394,0.153088,4096,1,1,256,1,1,8,0,0,,,"GeForce GTX 950 (0)","1","22","kernel_vectorAdd(float const *, float const *, int, int, float*) [324]"
